"group","symbol","weight"
"SW_idx","NAVER",25
"SW_idx","삼성에스디에스",25
"SW_idx","SK텔레콤",25
"SW_idx","카카오",25
"건설_idx","대우건설",25
"건설_idx","DL이앤씨",25
"건설_idx","삼성E&A",25
"건설_idx","GS건설",25
"태양광_idx","OCI홀딩스",25
"태양광_idx","한화솔루션",25
"태양광_idx","HD현대에너지솔루션",25
"태양광_idx","OCI",25
"optic_idx","대한광통신",25
"optic_idx","오이솔루션",25
"optic_idx","RF머트리얼즈",25
"optic_idx","빛과전자",25
"이차전지_idx","삼성SDI",25
"이차전지_idx","삼아알미늄",25
"이차전지_idx","엘앤에프",25
"이차전지_idx","에코프로",25
"로봇2_idx","에스피지",25
"로봇2_idx","에스비비테크",25
"로봇2_idx","한국피아이엠",25
"로봇2_idx","뉴로메카",25
"로봇_idx","로보티즈",25
"로봇_idx","현대무벡스",25
"로봇_idx","레인보우로보틱스",25
"로봇_idx","LG전자",25
"전선_idx","가온전선",25
"전선_idx","대한전선",25
"전선_idx","LS에코에너지",25
"전선_idx","대원전선",25
"원전_idx","비에이치아이",25
"원전_idx","두산에너빌리티",25
"원전_idx","현대건설",25
"원전_idx","한전기술",25
"자동차_idx","현대차",25
"자동차_idx","현대모비스",25
"자동차_idx","현대오토에버",25
"자동차_idx","에스엘",25
"방산_idx","한화에어로스페이스",20
"방산_idx","현대로템",20
"방산_idx","퍼스텍",20
"방산_idx","한국항공우주",20
"방산_idx","한화시스템",20
"증권_idx","미래에셋증권",25
"증권_idx","키움증권",25
"증권_idx","NH투자증권",25
"증권_idx","한국금융지주",25
"반도체소재_idx","한솔케미칼",25
"반도체소재_idx","이엔에프테크놀로지",25
"반도체소재_idx","원익머트리얼즈",25
"반도체소재_idx","한솔아이원스",25
"스페이스1_idx","스피어",25
"스페이스1_idx","쎄트렉아이",25
"스페이스1_idx","에이치브이엠",25
"스페이스1_idx","아주IB투자",25
"지주_idx","SK",20
"지주_idx","한화",20
"지주_idx","삼성물산",20
"지주_idx","두산",20
"지주_idx","HD현대",20
"강관_idx","휴스틸",20
"강관_idx","세아제강지주",20
"강관_idx","넥스틸",20
"강관_idx","SNT에너지",20
"강관_idx","태광",20
"반도체장비_idx","프로텍",25
"반도체장비_idx","지앤비에스 에코",25
"반도체장비_idx","피에스케이",25
"반도체장비_idx","케이씨텍",25
"조선_idx","HJ중공업",20
"조선_idx","HD현대중공업",20
"조선_idx","한화오션",20
"조선_idx","한화엔진",20
"조선_idx","HD현대마린엔진",20
"전공정_idx","브이엠",25
"전공정_idx","테스",25
"전공정_idx","주성엔지니어링",25
"전공정_idx","GST",25
"mem_idx","삼성전자",25
"mem_idx","SK하이닉스",25
"mem_idx","삼성전자우",25
"mem_idx","제주반도체",25
"인프라_idx","LS ELECTRIC",20
"인프라_idx","효성중공업",20
"인프라_idx","일진전기",20
"인프라_idx","HD현대일렉트릭",20
"인프라_idx","산일전기",20
"후공정_idx","두산테스나",20
"후공정_idx","코미코",20
"후공정_idx","미코",20
"후공정_idx","네패스아크",20
"후공정_idx","티에스이",20
"전자부품_idx","삼성전기",25
"전자부품_idx","LG이노텍",25
"전자부품_idx","대덕전자",25
"전자부품_idx","아모텍",25
