"group","symbol","weight"
"medAI_idx","TEM",25
"medAI_idx","ABSI",25
"medAI_idx","RXRX",25
"medAI_idx","SDGR",25
"saas1_idx","PANW",20
"saas1_idx","ESTC",20
"saas1_idx","CRWD",20
"saas1_idx","ZS",20
"saas1_idx","NET",20
"saas2_idx","MDB",20
"saas2_idx","CRM",20
"saas2_idx","OKTA",20
"saas2_idx","FIG",20
"saas2_idx","VEEV",20
"tanker_idx","ECO",20
"tanker_idx","FRO",20
"tanker_idx","DHT",20
"tanker_idx","TRMD",20
"tanker_idx","TNK",20
"consumer_idx","CELH",25
"consumer_idx","CVNA",25
"consumer_idx","ELF",25
"consumer_idx","LULU",25
"bio_idx","LLY",20
"bio_idx","NVO",20
"bio_idx","AMGN",20
"bio_idx","HALO",20
"bio_idx","EOLS",20
"sw_ai_idx","PLTR",25
"sw_ai_idx","SOUN",25
"sw_ai_idx","DUOL",25
"sw_ai_idx","IOT",25
"fintech_idx","SOFI",20
"fintech_idx","AFRM",20
"fintech_idx","UPST",20
"fintech_idx","COIN",20
"fintech_idx","HOOD",20
"hardcore_idx","XME",20
"hardcore_idx","SILJ",20
"hardcore_idx","COPX",20
"hardcore_idx","GDX",20
"hardcore_idx","REMX",20
"saas_idx","SNOW",20
"saas_idx","DDOG",20
"saas_idx","NOW",20
"saas_idx","GTLB",20
"saas_idx","APP",20
"platform_idx","RBLX",25
"platform_idx","U",25
"platform_idx","APP",25
"platform_idx","ROKU",25
"bank_idx","MS",25
"bank_idx","GS",25
"bank_idx","BAC",25
"bank_idx","JPM",25
"big_tech_idx","MSFT",20
"big_tech_idx","AAPL",20
"big_tech_idx","GOOG",20
"big_tech_idx","AMZN",20
"big_tech_idx","META",20
"turbin_idx","ATI",25
"turbin_idx","HWM",25
"turbin_idx","CRS",25
"turbin_idx","GEV",25
"engy_idx","RIG",25
"engy_idx","VAL",25
"engy_idx","SDRL",25
"engy_idx","WTI",25
"nuclear_idx","OKLO",25
"nuclear_idx","SMR",25
"nuclear_idx","LEU",25
"nuclear_idx","UEC",25
"dron_idx","ONDS",20
"dron_idx","AVAV",20
"dron_idx","UMAC",20
"dron_idx","RCAT",10
"dron_idx","KTOS",20
"dron_idx","CACI",10
"space2_idx","VOYG",20
"space2_idx","RDW",20
"space2_idx","KRMN",20
"space2_idx","BKSY",20
"space2_idx","VSAT",20
"mem_idx","MU",25
"mem_idx","SNDK",25
"mem_idx","STX",25
"mem_idx","WDC",25
"semi_ai_idx","NVDA",25
"semi_ai_idx","MRVL",25
"semi_ai_idx","TSM",25
"semi_ai_idx","AVGO",25
"semi_wfe_idx","ASML",25
"semi_wfe_idx","AMAT",25
"semi_wfe_idx","LRCX",25
"semi_wfe_idx","AMKR",25
"optic_idx","LITE",25
"optic_idx","CRDO",25
"optic_idx","COHR",25
"optic_idx","AAOI",25
"cpu_idx","AMD",25
"cpu_idx","ARM",25
"cpu_idx","INTC",25
"cpu_idx","NVDA",25
"ev_idx","TSLA",25
"ev_idx","EVGO",25
"ev_idx","CHPT",25
"ev_idx","NIO",25
"optic2_idx","GLW",20
"optic2_idx","VIAV",20
"optic2_idx","AXTI",20
"optic2_idx","FN",20
"optic2_idx","CIEN",20
"ncloud_idx","CRWV",25
"ncloud_idx","NBIS",25
"ncloud_idx","IREN",25
"ncloud_idx","CIFR",25
"renuable_idx","BE",20
"renuable_idx","ENPH",20
"renuable_idx","SEDG",20
"renuable_idx","PLUG",20
"renuable_idx","FSLR",20
"space_idx","RKLB",25
"space_idx","LUNR",25
"space_idx","ASTS",25
"space_idx","PL",25
"800VDC_idx","NVTS",25
"800VDC_idx","VICR",25
"800VDC_idx","MPWR",25
"800VDC_idx","AOSL",25
