code,name,ccy,entry_date,exit_date,entry_px_avg,exit_px_avg,qty,n_fills,hold_days,ret_pct
A100790,미래에셋벤처투자,KRW,2026-01-06,2026-01-19,14532.86,12410.0,700.0,4,13,-14.61
A203400,에이비온,KRW,2026-01-07,2026-01-28,3802.77,3487.15,12100.0,23,21,-8.3
A475300,SOL 반도체전공정,KRW,2026-01-07,2026-01-15,12975.0,12340.0,1000.0,2,8,-4.89
A950250,테라뷰,KRW,2026-01-07,2026-01-08,11995.0,11370.0,2.0,3,1,-5.21
A125490,한라캐스트,KRW,2026-01-07,2026-01-13,19810.0,17330.0,500.0,2,6,-12.52
A083650,비에이치아이,KRW,2026-01-08,2026-01-12,58000.0,53500.0,200.0,3,4,-7.76
A368770,파이버프로,KRW,2026-01-08,2026-02-24,15490.0,13861.32,1300.0,10,47,-10.51
A448900,한국피아이엔,KRW,2026-01-08,2026-01-09,53300.0,49450.0,200.0,2,1,-7.22
A463050,TIME K바이오액티브,KRW,2026-01-12,2026-01-23,20390.0,17735.0,100.0,2,11,-13.02
A0117V0,TIGER 코리아AI전력기기TOP3플러스,KRW,2026-01-12,2026-01-13,12965.0,12827.5,2000.0,3,1,-1.06
DRNZ.OQ,REX DRONE,USD,2026-01-14,2026-01-27,28.28,28.01,200.0,2,13,-0.95
AVAV.OQ,에어로바이론먼트,USD,2026-01-14,2026-01-23,364.63,322.23,10.0,2,9,-11.63
TEM.OQ,템퍼스 AI,USD,2026-01-14,2026-06-30,71.87,53.16,10.0,3,167,-26.03
ASTS.OQ,AST 스페이스모바일,USD,2026-01-14,2026-02-06,103.62,102.86,93.0,4,23,-0.73
A0090B0,PLUS K방산소부장,KRW,2026-01-14,2026-01-19,11255.0,10861.67,3000.0,5,5,-3.49
A089970,브이엔,KRW,2026-01-14,2026-01-27,27785.71,25557.14,700.0,5,13,-8.02
A095610,테스,KRW,2026-01-14,2026-01-15,52900.0,52100.0,100.0,2,1,-1.51
