"exit_date","n","mean_ret_pct","mean_hold_days"
2026-03-06,9,-16.8711111111111,20.3333333333333
2026-06-30,7,-29.2814285714286,62.4285714285714
2026-02-12,5,-7.574,8.8
2026-01-30,4,-4.5475,8
2026-08-10,4,-10.5675,17.25
2026-01-23,3,-10.28,7.33333333333333
2026-02-06,3,-13.02,17
2026-02-09,3,-2.95333333333333,6.33333333333333
2026-02-24,3,-9.41,36.3333333333333
2026-03-25,3,-2.41333333333333,15.6666666666667
2026-03-30,3,-5.36666666666667,42
2026-04-06,3,-7.38333333333333,4.33333333333333
2026-05-11,3,-5.47,15
2026-05-19,3,-8.55666666666667,12.3333333333333
2026-06-05,3,-2.75,53
2026-07-09,3,-17.9333333333333,9.66666666666667
2026-01-13,2,-6.79,3.5
2026-01-15,2,-3.2,4.5
2026-01-19,2,-9.05,9
2026-01-27,2,-4.485,13
2026-01-28,2,-7.175,11.5
2026-02-10,2,-4.79,8
2026-03-10,2,-8.33,17
2026-03-24,2,-10.005,16.5
2026-04-08,2,-4.14,5.5
2026-05-12,2,-7.01,29
2026-05-28,2,-4.34,15
2026-06-09,2,-11.835,72
2026-07-07,2,-12.14,25
2026-07-24,2,-4.73,0
2026-07-27,2,-15.44,15.5
2026-08-13,2,-3.605,7
2026-08-19,2,-8.03,41.5
2026-08-20,2,-7.85,7.5
2026-08-21,2,-17.56,12
2026-01-08,1,-5.21,1
2026-01-09,1,-7.22,1
2026-01-12,1,-7.76,4
2026-02-05,1,-1.08,7
2026-02-20,1,-4.08,32
2026-02-23,1,-1.18,13
2026-02-25,1,-0.05,2
2026-03-03,1,-8.7,15
2026-03-04,1,-5.6,5
2026-03-09,1,-0.16,6
2026-03-11,1,-5.54,1
2026-03-13,1,0,0
2026-03-16,1,-7.13,34
2026-03-27,1,-0.77,63
2026-03-31,1,-13.42,7
2026-04-01,1,-9.63,40
2026-04-02,1,-5,3
2026-04-07,1,-5.98,1
2026-04-10,1,-7.25,10
2026-04-13,1,-0.45,73
2026-04-23,1,-10.26,57
2026-05-15,1,-7.1,2
2026-05-18,1,-5.08,48
2026-06-01,1,-16.27,4
2026-06-04,1,-23.32,20
2026-06-08,1,-5.96,4
2026-07-02,1,-3.27,1
2026-07-15,1,-20.87,13
2026-07-21,1,-7.11,18
2026-07-22,1,-52.28,98
2026-07-28,1,-14.62,14
2026-07-29,1,-19.98,13
