"trade_id","code","name","entry_date","exit_date","entry_px_avg","ret_pct","hold_days","candidate","level","dist_pct_from_entry","breach_date","status","reaction_lag_td"
1,"A100790","미래에셋벤처투자",2026-01-06,2026-01-19,14532.86,-14.61,13,"c1_swing_low",12260,-15.6394543125028,,"이탈없음",
1,"A100790","미래에셋벤처투자",2026-01-06,2026-01-19,14532.86,-14.61,13,"c2_20d_low",9220,-36.5575667831383,,"이탈없음",
1,"A100790","미래에셋벤처투자",2026-01-06,2026-01-19,14532.86,-14.61,13,"c3_ma20",12844.5,-11.6175343325402,2026-01-14,"청산지연",3
1,"A100790","미래에셋벤처투자",2026-01-06,2026-01-19,14532.86,-14.61,13,"c4_ma60",9784.83333333333,-32.6709723114835,,"이탈없음",
1,"A100790","미래에셋벤처투자",2026-01-06,2026-01-19,14532.86,-14.61,13,"c5_base_low",12260,-15.6394543125028,,"이탈없음",
2,"A203400","에이비온",2026-01-07,2026-01-28,3802.77,-8.3,21,"c1_swing_low",2640,-30.5769215598103,,"이탈없음",
2,"A203400","에이비온",2026-01-07,2026-01-28,3802.77,-8.3,21,"c2_20d_low",2465,-35.178830168535,,"이탈없음",
2,"A203400","에이비온",2026-01-07,2026-01-28,3802.77,-8.3,21,"c3_ma20",3102.25,-18.4213086776218,2026-03-03,"청산선행",-20
2,"A203400","에이비온",2026-01-07,2026-01-28,3802.77,-8.3,21,"c4_ma60",2826.96294555664,-25.6604279102696,,"이탈없음",
2,"A203400","에이비온",2026-01-07,2026-01-28,3802.77,-8.3,21,"c5_base_low",3095,-18.6119591771261,2026-03-03,"청산선행",-20
5,"A125490","한라캐스트",2026-01-07,2026-01-13,19810,-12.52,6,"c1_swing_low",18000,-9.13679959616356,2026-01-08,"청산지연",3
5,"A125490","한라캐스트",2026-01-07,2026-01-13,19810,-12.52,6,"c2_20d_low",15850,-19.989904088844,,"이탈없음",
5,"A125490","한라캐스트",2026-01-07,2026-01-13,19810,-12.52,6,"c3_ma20",18279.5,-7.7258960121151,2026-01-08,"청산지연",3
5,"A125490","한라캐스트",2026-01-07,2026-01-13,19810,-12.52,6,"c4_ma60",13991,-29.3740535083291,,"이탈없음",
5,"A125490","한라캐스트",2026-01-07,2026-01-13,19810,-12.52,6,"c5_base_low",18000,-9.13679959616356,2026-01-08,"청산지연",3
6,"A083650","비에이치아이",2026-01-08,2026-01-12,58000,-7.76,4,"c1_swing_low",51300,-11.551724137931,,"이탈없음",
6,"A083650","비에이치아이",2026-01-08,2026-01-12,58000,-7.76,4,"c2_20d_low",50200,-13.448275862069,,"이탈없음",
6,"A083650","비에이치아이",2026-01-08,2026-01-12,58000,-7.76,4,"c3_ma20",54905,-5.33620689655172,2026-01-08,"청산지연",2
6,"A083650","비에이치아이",2026-01-08,2026-01-12,58000,-7.76,4,"c4_ma60",49871.6666666667,-14.014367816092,,"이탈없음",
6,"A083650","비에이치아이",2026-01-08,2026-01-12,58000,-7.76,4,"c5_base_low",54400,-6.20689655172414,2026-01-08,"청산지연",2
7,"A368770","파이버프로",2026-01-08,2026-02-24,15490,-10.51,47,"c1_swing_low",9600,-38.0245319561007,,"이탈없음",
7,"A368770","파이버프로",2026-01-08,2026-02-24,15490,-10.51,47,"c2_20d_low",7110,-54.0994189799871,,"이탈없음",
7,"A368770","파이버프로",2026-01-08,2026-02-24,15490,-10.51,47,"c3_ma20",10514,-32.1239509360878,,"이탈없음",
7,"A368770","파이버프로",2026-01-08,2026-02-24,15490,-10.51,47,"c4_ma60",7612,-50.8586184635249,,"이탈없음",
7,"A368770","파이버프로",2026-01-08,2026-02-24,15490,-10.51,47,"c5_base_low",12200,-21.239509360878,2026-03-04,"청산선행",-5
8,"A448900","한국피아이엔",2026-01-08,2026-01-09,53300,-7.22,1,"c1_swing_low",42850,-19.6060037523452,,"이탈없음",
8,"A448900","한국피아이엔",2026-01-08,2026-01-09,53300,-7.22,1,"c2_20d_low",42850,-19.6060037523452,,"이탈없음",
8,"A448900","한국피아이엔",2026-01-08,2026-01-09,53300,-7.22,1,"c3_ma20",53260,-0.0750469043152013,,"이탈없음",
8,"A448900","한국피아이엔",2026-01-08,2026-01-09,53300,-7.22,1,"c4_ma60",42812.5,-19.6763602251407,,"이탈없음",
8,"A448900","한국피아이엔",2026-01-08,2026-01-09,53300,-7.22,1,"c5_base_low",47450,-10.9756097560976,,"이탈없음",
