"trade_id","code","name","ccy","entry_date","exit_date","reason"
3,"A475300","SOL 반도체전공정","KRW",2026-01-07,2026-01-15,"code_not_in_ohlc_cache"
4,"A950250","테라뷰","KRW",2026-01-07,2026-01-08,"insufficient_history_before_entry_lt60td"
9,"A463050","TIME K바이오액티브","KRW",2026-01-12,2026-01-23,"code_not_in_ohlc_cache"
10,"A0117V0","TIGER 코리아AI전력기기TOP3플러스","KRW",2026-01-12,2026-01-13,"insufficient_history_before_entry_lt60td"
11,"DRNZ.OQ","REX DRONE","USD",2026-01-14,2026-01-27,"no_price_source_ohlc_KR_only"
12,"AVAV.OQ","에어로바이론먼트","USD",2026-01-14,2026-01-23,"no_price_source_ohlc_KR_only"
13,"TEM.OQ","템퍼스 AI","USD",2026-01-14,2026-06-30,"no_price_source_ohlc_KR_only"
14,"ASTS.OQ","AST 스페이스모바일","USD",2026-01-14,2026-02-06,"no_price_source_ohlc_KR_only"
15,"A0090B0","PLUS K방산소부장","KRW",2026-01-14,2026-01-19,"code_not_in_ohlc_cache"
18,"A415920","PLUS 글로벌희토류&전략자원생산기업","KRW",2026-01-19,2026-02-20,"code_not_in_ohlc_cache"
19,"A0080G0","KODEX 방산TOP10","KRW",2026-01-19,2026-01-30,"code_not_in_ohlc_cache"
20,"A144600","KODEX 은선물(H)","KRW",2026-01-19,2026-03-06,"code_not_in_ohlc_cache"
25,"ONDS.OQ","온다스","USD",2026-01-23,2026-06-09,"no_price_source_ohlc_KR_only"
26,"LUNR.OQ","인튜이티브 머신스","USD",2026-01-23,2026-02-06,"no_price_source_ohlc_KR_only"
27,"7181.JP","간포생명보험","JPY",2026-01-23,2026-03-27,"no_price_source_ohlc_KR_only"
28,"RKLB.OQ","로켓 랩","USD",2026-01-23,2026-02-06,"no_price_source_ohlc_KR_only"
29,"RCAT.OQ","레드 캣 홀딩스","USD",2026-01-23,2026-06-30,"no_price_source_ohlc_KR_only"
31,"A138540","TIGER 현대차그룹플러스","KRW",2026-01-26,2026-01-28,"code_not_in_ohlc_cache"
33,"A469070","RISE AI&로봇","KRW",2026-01-27,2026-02-24,"code_not_in_ohlc_cache"
34,"AMAT.OQ","어플라이드 머티어리얼즈","USD",2026-01-29,2026-03-30,"no_price_source_ohlc_KR_only"
36,"ASML.OQ","ASML 홀딩(ADR)","USD",2026-01-29,2026-02-05,"no_price_source_ohlc_KR_only"
37,"LRCX.OQ","램 리서치","USD",2026-01-29,2026-03-30,"no_price_source_ohlc_KR_only"
42,"A138540","TIGER 현대차그룹플러스","KRW",2026-01-30,2026-02-09,"code_not_in_ohlc_cache"
44,"A0000J0","PLUS 한화그룹주","KRW",2026-02-06,2026-02-09,"code_not_in_ohlc_cache"
46,"A469170","ACE 포스코그룹포커스","KRW",2026-02-09,2026-02-12,"code_not_in_ohlc_cache"
47,"HL.NY","헤클라 마이닝","USD",2026-02-10,2026-03-16,"no_price_source_ohlc_KR_only"
49,"A0154F0","WON 초대형IB&금융지주","KRW",2026-02-11,2026-03-10,"code_not_in_ohlc_cache"
56,"IPGP.OQ","IPG 포토닉스","USD",2026-02-16,2026-03-03,"no_price_source_ohlc_KR_only"
57,"A157500","TIGER 증권","KRW",2026-02-20,2026-04-01,"code_not_in_ohlc_cache"
59,"A498860","RISE 코리아금융고배당","KRW",2026-02-24,2026-03-06,"code_not_in_ohlc_cache"
64,"A233160","TIGER 코스닥150 레버리지","KRW",2026-03-03,2026-03-10,"code_not_in_ohlc_cache"
65,"A123320","TIGER 레버리지","KRW",2026-03-03,2026-03-09,"code_not_in_ohlc_cache"
68,"A496080","TIGER 코리아밸류업","KRW",2026-03-09,2026-03-25,"code_not_in_ohlc_cache"
71,"A233160","TIGER 코스닥150 레버리지","KRW",2026-03-10,2026-03-11,"code_not_in_ohlc_cache"
72,"A139250","TIGER 200 에너지화학","KRW",2026-03-13,2026-03-13,"code_not_in_ohlc_cache"
73,"A243890","TIGER 200에너지화학레버리지","KRW",2026-03-24,2026-03-31,"code_not_in_ohlc_cache"
74,"A139250","TIGER 200 에너지화학","KRW",2026-03-24,2026-03-30,"code_not_in_ohlc_cache"
76,"VLO.NY","발레로 에너지","USD",2026-03-30,2026-05-12,"no_price_source_ohlc_KR_only"
77,"A0154F0","WON 초대형IB&금융지주","KRW",2026-03-30,2026-04-02,"code_not_in_ohlc_cache"
88,"OKLO.NY","오클로","USD",2026-04-27,2026-05-12,"no_price_source_ohlc_KR_only"
91,"AXTI.OQ","AXT","USD",2026-05-12,2026-06-30,"no_price_source_ohlc_KR_only"
92,"285A.JP","키오시아홀딩스","JPY",2026-05-12,2026-05-19,"no_price_source_ohlc_KR_only"
94,"DOW.NY","다우","USD",2026-05-13,2026-05-28,"no_price_source_ohlc_KR_only"
95,"NVTS.OQ","나비타스 세미컨덕터","USD",2026-05-13,2026-06-05,"no_price_source_ohlc_KR_only"
96,"LYB.NY","라이온델바젤 인더스트리스","USD",2026-05-13,2026-05-28,"no_price_source_ohlc_KR_only"
100,"NVTX.AX","TRADR NVTS DAILY 2X","USD",2026-05-28,2026-06-30,"no_price_source_ohlc_KR_only"
104,"A0105D0","SOL 한국AI소프트웨어","KRW",2026-06-04,2026-06-08,"code_not_in_ohlc_cache"
106,"SPCX.OQ","스페이스X","USD",2026-06-17,2026-06-30,"no_price_source_ohlc_KR_only"
110,"AMAT.OQ","어플라이드 머티어리얼즈","USD",2026-07-02,2026-07-15,"no_price_source_ohlc_KR_only"
120,"SKHY.OQ","SK하이닉스(ADR)","USD",2026-07-16,2026-07-29,"no_price_source_ohlc_KR_only"
131,"A477850","마키나락스","KRW",2026-08-12,2026-08-21,"code_not_in_ohlc_cache"
