"code","name","entry_date","exit_date","ret_pct","hold_days","c1_swing_low","c2_20d_low","c3_ma20","c4_ma60","c5_base_low","median_lag_td","n_lead","n_no_breach"
"A100790","미래에셋벤처투자",2026-01-06,2026-01-19,-14.61,13,"이탈없음","이탈없음","3","이탈없음","이탈없음",3,0,4
"A203400","에이비온",2026-01-07,2026-01-28,-8.3,21,"이탈없음","이탈없음","선행20","이탈없음","선행20",,2,3
"A125490","한라캐스트",2026-01-07,2026-01-13,-12.52,6,"3","이탈없음","3","이탈없음","3",3,0,2
"A083650","비에이치아이",2026-01-08,2026-01-12,-7.76,4,"이탈없음","이탈없음","2","이탈없음","2",2,0,3
"A368770","파이버프로",2026-01-08,2026-02-24,-10.51,47,"이탈없음","이탈없음","이탈없음","이탈없음","선행5",,1,4
"A448900","한국피아이엔",2026-01-08,2026-01-09,-7.22,1,"이탈없음","이탈없음","이탈없음","이탈없음","이탈없음",,0,5
"A089970","브이엔",2026-01-14,2026-01-27,-8.02,13,"7","4","9","4","7",7,0,0
"A095610","테스",2026-01-14,2026-01-15,-1.51,1,"0","이탈없음","이탈없음","이탈없음","0",0,0,3
"A071970","HD현대마린엔진",2026-01-19,2026-01-30,-5.05,11,"6","선행19","6","선행1","0",6,2,0
"A089890","코세스",2026-01-21,2026-02-24,-9.41,34,"6","이탈없음","9","21","5",7.5,0,1
"A095610","테스",2026-01-21,2026-01-23,-6.19,2,"2","이탈없음","2","이탈없음","2",2,0,2
"A354320","알멕",2026-01-21,2026-06-05,-1.72,135,"선행12","이탈없음","선행15","이탈없음","선행12",,3,2
"A044490","태웅",2026-01-23,2026-01-30,-7.2,7,"선행5","이탈없음","선행19","이탈없음","선행5",,3,2
"A474170","루미르",2026-01-27,2026-01-30,-3.31,3,"이탈없음","이탈없음","이탈없음","이탈없음","선행19",,1,4
"A388720","유일로보틱스",2026-01-29,2026-02-12,-13.1,14,"이탈없음","이탈없음","선행10","이탈없음","선행10",,2,3
"A009470","삼화전기",2026-01-29,2026-02-10,-0.49,12,"선행12","이탈없음","선행12","이탈없음","선행12",,3,2
"A058610","에스피지",2026-01-30,2026-02-12,-4.95,13,"이탈없음","이탈없음","이탈없음","이탈없음","선행10",,1,4
"A126340","비나텍",2026-01-30,2026-04-13,-0.45,73,"이탈없음","이탈없음","이탈없음","이탈없음","이탈없음",,0,5
"A389500","에스비비테크",2026-01-30,2026-02-12,-15.45,13,"5","이탈없음","1","이탈없음","8",5,0,2
"A298040","효성중공업",2026-02-03,2026-02-09,-5.23,6,"4","이탈없음","1","이탈없음","이탈없음",2.5,0,3
"A001430","세아베스틸지주",2026-02-06,2026-02-10,-9.09,4,"선행9","이탈없음","선행6","이탈없음","선행6",,3,2
"A264450","유비쿼스",2026-02-10,2026-02-23,-1.18,13,"선행6","이탈없음","선행6","이탈없음","선행6",,3,2
"A474170","루미르",2026-02-11,2026-03-06,-10.67,23,"4","이탈없음","4","이탈없음","4",4,0,2
"A009470","삼화전기",2026-02-11,2026-03-06,-22.15,23,"13","이탈없음","11","2","13",12,0,1
"A214430","아이쓰리시스템",2026-02-11,2026-02-12,-1.46,1,"선행10","이탈없음","선행6","이탈없음","선행10",,3,2
"A001430","세아베스틸지주",2026-02-11,2026-03-06,-31.3,23,"8","2","12","이탈없음","8",8,0,1
